UF,GO
Cidade,PIRENOPOLIS
Nome Posto,PIRENOPOLIS
Latitude,-15.854722222222222
Longitude,-48.96611111111111
Codigo,1548003
Qtd. Anos,50
Ano,Maxima
1969,80
1970,50
1971,110
1972,51
1973,79
1974,69.4
1975,65.4
1976,45
1977,75
1978,75
1979,66.6
1980,69.2
1981,62.2
1982,96.4
1983,99.6
1984,83
1985,120
1986,52
1987,96.7
1988,75.3
1989,28.3
1990,8.6
1991,52.9
1992,86.2
1993,175
1994,76
1995,83
1996,78.5
1997,63.5
1999,44.5
2000,59.8
2001,76.9
2002,45.1
2003,66.7
2004,77.5
2005,106.5
2006,75.6
2007,153.4
2008,81
2009,77.1
2010,126.3
2011,67.6
2012,66.5
2013,79.7
2014,64
2015,109
2016,123.8
2017,89.8
2018,80.5
2019,72
