UF,GO
Cidade,CACHOEIRA ALTA
Nome Posto,CACHOEIRA ALTA
Latitude,-18.90972222222222
Longitude,-50.85027777777778
Codigo,1851000
Qtd. Anos,46
Ano,Maxima
1972,66.8
1973,87.4
1974,87.6
1975,92.4
1976,80.9
1977,75
1978,64.2
1979,119.3
1980,115
1981,110
1982,77
1983,88
1984,52
1985,69.2
1986,66.3
1987,48
1988,80
1992,91.7
1993,67.9
1994,65.2
1995,989.6
1996,62.2
1997,78.6
1998,70.8
1999,123.1
2000,94.4
2001,78.5
2002,120.9
2003,50
2004,85.7
2005,75.5
2006,100
2007,47.5
2008,143.9
2009,96.1
2010,95.9
2011,165
2012,85
2013,57
2014,81
2015,62.1
2016,67.5
2017,114
2018,48.8
2019,82.2
2020,38.1
