UF,GO
Cidade,ALTO PARAISO DE GOIAS
Nome Posto,ALTO PARAISO DE GOIAS
Latitude,-14.134722222222221
Longitude,-47.51166666666666
Codigo,1447000
Qtd. Anos,51
Ano,Maxima
1969,48.3
1970,59.4
1971,69.3
1972,116
1973,81.2
1974,64
1975,52.4
1976,73.4
1977,142.1
1978,104.2
1979,92.1
1980,119.1
1981,57
1982,46.1
1983,76
1984,83.5
1985,84.8
1986,70.1
1987,64.1
1988,88.9
1989,66.1
1990,67
1991,64.1
1992,85.3
1993,64
1994,76.2
1995,86
1996,75
1997,57.3
1998,97.1
1999,67.2
2000,49.3
2001,70
2002,75
2003,40.2
2004,60.4
2005,112
2006,52
2007,56.3
2008,67.3
2009,43
2010,64.5
2011,76.3
2012,67.3
2013,42.3
2014,63
2015,94.6
2016,38.2
2017,68.3
2018,73.2
2019,55.3
