UF,GO
Cidade,NOVA CRIXAS
Nome Posto,BANDEIRANTES
Latitude,-13.689444444444444
Longitude,-50.79611111111111
Codigo,1350000
Qtd. Anos,47
Ano,Maxima
1973,158
1974,106
1975,54
1976,127.6
1977,125
1978,163.7
1979,114
1980,145.6
1981,51.4
1982,127.4
1983,125
1984,85.3
1985,60.3
1986,60
1987,151
1988,71.4
1989,80
1990,96.4
1991,90.3
1992,92.5
1993,80.6
1994,125
1995,100.5
1996,70.2
1997,78.3
1998,72
1999,90
2000,209
2001,46.2
2002,60.4
2003,65.4
2004,73.8
2005,62.4
2006,58.7
2007,70
2008,52.6
2009,36.2
2010,41
2011,68.6
2012,54.6
2013,65.3
2014,65.3
2015,45.3
2016,208.8
2017,169.1
2018,60
2019,60.1
