UF,GO
Cidade,ITARUMA
Nome Posto,ITARUMA
Latitude,-18.764722222222222
Longitude,-51.34722222222222
Codigo,1851002
Qtd. Anos,50
Ano,Maxima
1971,72.4
1972,95.2
1973,60.2
1974,76.4
1975,71.4
1976,51.8
1977,61.2
1978,81.4
1979,105.1
1980,66
1981,65.3
1982,78.4
1983,88.4
1984,127.3
1985,56.4
1986,111.2
1987,94.4
1988,89.2
1989,99.3
1990,86.2
1991,82.3
1992,91.3
1993,60.3
1994,99.3
1995,93.4
1996,99.4
1997,70
1998,128.4
1999,53.7
2000,94.1
2001,72.7
2002,85.7
2003,43.9
2004,60.5
2005,114.2
2006,96.5
2007,84.7
2008,64.2
2009,53.9
2010,85.6
2011,81.9
2012,64.3
2013,46.2
2014,57.5
2015,43.7
2016,66
2017,100.2
2018,105.7
2019,90.5
2020,41.9
