UF,GO
Cidade,ITAPURANGA
Nome Posto,ITAPURANGA
Latitude,-15.564166666666667
Longitude,-49.94361111111111
Codigo,1549002
Qtd. Anos,51
Ano,Maxima
1969,98
1970,100.2
1971,68.8
1972,104
1973,80.8
1974,62.4
1975,83.8
1976,80.8
1977,60
1978,82.6
1979,78
1980,154.2
1981,94.8
1982,93.2
1983,126.6
1984,81
1985,141.8
1986,63.4
1987,80.8
1988,73.4
1989,82.2
1990,75.6
1991,67.2
1992,97.4
1993,70
1994,56.6
1995,89.6
1996,95.8
1997,110
1998,81
1999,77.7
2000,75.1
2001,68.9
2002,156.1
2003,90.8
2004,69.3
2005,97.3
2006,60
2007,74.9
2008,86
2009,120.5
2010,77.3
2011,63.5
2012,80.5
2013,60
2014,95
2015,58
2016,113.2
2017,104
2018,70
2019,50
