UF,GO
Cidade,MATRINCHA
Nome Posto,TRAVESSAO
Latitude,-15.535555555555556
Longitude,-50.70277777777778
Codigo,1550002
Qtd. Anos,47
Ano,Maxima
1973,53.6
1974,50
1975,41
1976,25
1977,25
1978,25
1979,92
1980,144
1981,154
1982,131
1983,100
1984,50
1985,88.1
1986,75
1987,146
1988,83.6
1989,103.8
1990,50
1991,75.6
1992,67.6
1993,88.8
1994,111.6
1995,78.6
1996,306
1997,113.4
1998,62
1999,57.7
2000,96
2001,77.6
2002,97.1
2003,88.3
2004,112.5
2005,101.5
2006,109.4
2007,74.4
2008,71.7
2009,57.7
2010,97.7
2011,134.4
2012,86.9
2013,126.5
2014,63.3
2015,65.7
2016,124.5
2017,65.7
2018,112.3
2019,72.7
