UF,GO
Cidade,ITUMBIARA
Nome Posto,PONTE MEIA PONTE
Latitude,-18.339444444444442
Longitude,-49.61138888888889
Codigo,1849016
Qtd. Anos,50
Ano,Maxima
1971,85.5
1972,64.3
1973,65.4
1974,99.4
1975,45
1976,88
1977,61.4
1978,92
1979,144.4
1980,88.4
1981,109.4
1982,161.2
1983,147.1
1984,62.1
1985,62.1
1986,62.2
1987,79.8
1988,88.9
1989,65.3
1990,73
1991,90
1992,70.6
1993,61.8
1994,114.4
1995,78.8
1996,86.4
1997,95
1998,107
1999,69.7
2000,74.4
2001,94.7
2002,66.5
2003,74.8
2004,71.3
2005,84.7
2006,100.4
2007,80.3
2008,53.3
2009,78.1
2010,103
2011,98.4
2012,103.1
2013,68.2
2014,96.2
2015,90.2
2016,87
2017,79
2018,72.1
2019,60.8
2020,124.7
