UF,GO
Cidade,ACREUNA
Nome Posto,PONTE RIO VERDAO
Latitude,-17.54138888888889
Longitude,-50.55611111111111
Codigo,1750003
Qtd. Anos,46
Ano,Maxima
1971,90.4
1972,76
1973,67
1974,57.6
1975,53
1976,80
1977,73
1978,81.8
1979,143
1980,109
1981,92
1982,53
1983,103
1984,75.3
1985,75
1986,148
1987,111
1988,70
1989,97
1990,50
1994,61.4
1995,102.3
1996,81.7
1997,64.2
1998,56.7
1999,41
2000,117.4
2001,120.9
2002,68.8
2003,134.2
2004,68.1
2005,75.7
2006,78.9
2007,104.1
2008,64.7
2009,146.2
2010,114.4
2011,66.5
2012,114.3
2013,68.8
2014,63.8
2015,78.4
2016,120.5
2017,75.1
2018,105.8
2019,89.2
