UF,GO
Cidade,MINEIROS
Nome Posto,PONTE DO CEDRO
Latitude,-17.579444444444444
Longitude,-52.60138888888889
Codigo,1752003
Qtd. Anos,50
Ano,Maxima
1971,41.2
1972,83.2
1973,57.4
1974,64.2
1975,100.5
1976,74.2
1977,80.4
1978,76.9
1979,133
1980,70
1981,61
1982,52
1983,49
1984,72
1985,65
1986,62
1987,10
1988,102
1989,90.7
1990,85.1
1991,60.1
1992,60.7
1993,56.2
1994,110.2
1995,75
1996,60.2
1997,78.5
1998,68.1
1999,82.5
2000,83.2
2001,76.7
2002,76.8
2003,70.3
2004,102
2005,80.6
2006,86.5
2007,38.4
2008,65.7
2009,99
2010,83
2011,95
2012,85.7
2013,115.8
2014,65.5
2015,72.2
2016,62.4
2017,90.7
2018,79.7
2019,60.9
2020,50.6
