UF,GO
Cidade,URUACU
Nome Posto,PORTO URUACU
Latitude,-14.555277777777778
Longitude,-49.13944444444444
Codigo,1449001
Qtd. Anos,54
Ano,Maxima
1964,69.1
1965,87.3
1968,25.2
1969,72.8
1970,50.4
1971,88.4
1972,50.3
1973,70
1974,79.4
1975,78.2
1976,53
1977,80
1978,95.8
1979,50.8
1980,51.8
1981,60.9
1982,86.8
1983,93.4
1984,44.8
1985,140.4
1986,50.6
1987,98.2
1988,56
1989,110
1990,59.8
1991,64.2
1992,92.4
1993,54
1994,93.6
1995,54.8
1996,89.4
1997,58.4
1998,83.4
1999,76.4
2000,58.4
2001,65.9
2002,90.4
2003,50.2
2004,70.4
2005,74.2
2006,182.4
2007,85.3
2008,126.4
2009,97.3
2010,96.3
2011,95
2012,74.4
2013,102.1
2014,80.5
2015,103.3
2016,54.5
2017,73.2
2018,96.1
2019,65.5
