UF,GO
Cidade,JATAI
Nome Posto,BENJAMIN  BARROS
Latitude,-17.695
Longitude,-51.89222222222222
Codigo,1751002
Qtd. Anos,48
Ano,Maxima
1973,85.4
1974,118.8
1975,97.5
1976,71.1
1977,66.6
1978,63.2
1979,65.4
1980,85.6
1981,74.8
1982,70.4
1983,92.6
1984,51.4
1985,73.4
1986,58.8
1987,87.4
1988,53.8
1989,128.8
1990,74.6
1991,128
1992,93
1993,59.8
1994,76
1995,145.8
1996,74
1997,71.8
1998,64.6
1999,115.5
2000,55.1
2001,90
2002,112.3
2003,82.5
2004,146.8
2005,102
2006,72.1
2007,64.3
2008,89.2
2009,96.5
2010,90
2011,67.3
2012,62.1
2013,102.1
2014,70
2015,43.1
2016,58.7
2017,120.4
2018,90.7
2019,35.2
2020,20.7
