UF,GO
Cidade,JATAI
Nome Posto,BOM JARDIM
Latitude,-17.718055555555555
Longitude,-52.169999999999995
Codigo,1752006
Qtd. Anos,45
Ano,Maxima
1976,82
1977,125
1978,66.4
1979,70
1980,50
1981,78
1982,80.8
1983,67
1984,89.4
1985,54.2
1986,85
1987,61
1988,102
1989,122
1990,78
1991,83.2
1992,70.4
1993,96.2
1994,39.5
1995,103.4
1996,74
1997,71.1
1998,88.7
1999,93.3
2000,85.7
2001,92.5
2002,113.9
2003,84.8
2004,129.2
2005,99.2
2006,104.2
2007,65
2008,72
2009,120.5
2010,89.4
2011,119
2012,75.5
2013,96.6
2014,67.5
2015,51.1
2016,61
2017,74.5
2018,89.2
2019,63.1
2020,27.5
