UF,GO
Cidade,BRITANIA
Nome Posto,BRITANIA
Latitude,-15.24611111111111
Longitude,-51.163333333333334
Codigo,1551000
Qtd. Anos,47
Ano,Maxima
1973,78.2
1974,88.8
1975,65
1976,71
1977,50.9
1978,91
1979,70.5
1980,80.6
1981,65.3
1982,75.5
1983,75
1984,81.4
1985,121
1986,70.5
1987,122.4
1988,103.8
1989,107.6
1990,70.8
1991,102.5
1992,117
1993,61.3
1994,78.4
1995,71.6
1996,87.5
1997,136.3
1998,170.1
1999,69.5
2000,87.7
2001,75.6
2002,93.8
2003,77.5
2004,115.3
2005,122.3
2006,75.7
2007,61.3
2008,67.6
2009,82.4
2010,71.4
2011,135.8
2012,72.5
2013,106.6
2014,72.1
2015,111
2016,165.5
2017,114
2018,91.8
2019,126.9
