UF,GO
Cidade,JOVIANIA
Nome Posto,JOVIANIA
Latitude,-17.809444444444445
Longitude,-49.62638888888889
Codigo,1749002
Qtd. Anos,47
Ano,Maxima
1973,74.2
1974,140
1975,51.2
1976,82.6
1977,81
1978,75.2
1979,87.4
1980,88.6
1981,89.8
1982,61
1983,97
1984,68
1985,103
1986,125.2
1987,102.6
1988,80.7
1989,59.8
1990,95.4
1991,94
1992,89
1993,100.3
1994,75
1995,142.2
1996,96.7
1997,52.6
1998,63
1999,52
2000,72.4
2001,105.3
2002,150.6
2003,66
2004,59
2005,60
2006,89
2007,118
2008,98
2009,127.4
2010,65.1
2011,86.5
2012,113.7
2013,87.8
2014,87
2015,65.6
2016,78.5
2017,85
2018,83.5
2019,58.8
