UF,GO
Cidade,TRES RANCHOS
Nome Posto,TRES RANCHOS
Latitude,-18.363333333333333
Longitude,-47.78055555555555
Codigo,1847006
Qtd. Anos,46
Ano,Maxima
1972,144.4
1973,84.4
1974,72.6
1975,65.4
1976,45.2
1977,59.2
1978,139
1979,120.2
1980,86
1981,104.6
1982,68
1983,79.6
1984,79
1985,102
1986,98.4
1987,64.2
1988,86.2
1989,84.2
1990,69.8
1992,68.4
1993,69.5
1994,273
1995,55
1996,40.7
1997,55.3
1998,45.6
1999,83.8
2000,100.7
2001,70.3
2002,71.3
2003,78.4
2004,96.7
2005,100
2006,95
2008,68
2009,62.5
2010,63.8
2011,99
2012,70.8
2013,82
2014,66.9
2015,70.5
2016,75.9
2017,118.5
2018,112.6
2019,19
