UF,GO
Cidade,VIANOPOLIS
Nome Posto,VIANOPOLIS
Latitude,-16.747777777777777
Longitude,-48.52638888888889
Codigo,1648002
Qtd. Anos,47
Ano,Maxima
1944,131.3
1945,73.2
1946,50
1947,80.4
1948,73.2
1949,72.4
1973,75
1974,127
1975,91
1976,100
1977,60
1978,108
1979,64.4
1980,90.6
1981,106.8
1982,96.2
1983,80.4
1984,50
1985,82.8
1986,51.4
1987,93
1988,90
1989,100
1990,98
1991,79
1992,72.7
1993,82.1
1994,114.3
1995,62.3
1996,75.5
1997,91.3
1998,76.5
1999,82.2
2000,56.5
2001,85.2
2002,51.4
2003,55.3
2004,158.7
2005,154.7
2006,107.3
2007,87.5
2008,82.1
2009,72.9
2010,84.5
2011,85.7
2012,75.7
2013,88.3
