UF,GO
Cidade,SANTA RITA DO ARAGUAIA
Nome Posto,FAZENDA BABILONIA
Latitude,-17.352777777777778
Longitude,-53.091944444444444
Codigo,1753002
Qtd. Anos,51
Ano,Maxima
1965,55
1969,110.6
1970,81
1971,68.8
1972,72
1973,125
1974,92.8
1975,61.8
1976,103.8
1977,68
1978,91.2
1979,53.4
1980,81.4
1981,68.6
1982,85.4
1983,62.6
1984,102.9
1985,25
1986,52.5
1987,6.2
1989,80.4
1990,40.8
1991,50.3
1993,67
1994,95
1995,83.6
1996,76.5
1997,116.8
1998,95.1
1999,80.5
2000,92
2001,69.3
2002,60.4
2003,93.1
2004,57.3
2005,78.8
2006,100
2007,38.5
2008,95.8
2009,162.5
2010,118.6
2011,117
2012,90
2013,74
2014,96
2015,72
2016,60
2017,89.2
2018,121
2019,132.3
2020,39
