UF,GO
Cidade,CAIAPONIA
Nome Posto,CAIAPONIA
Latitude,-16.949722222222224
Longitude,-51.79944444444444
Codigo,1651000
Qtd. Anos,52
Ano,Maxima
1969,42
1970,82.5
1971,62.2
1972,60.2
1973,75.1
1974,107.3
1975,82.6
1976,84
1977,130.4
1978,71.4
1979,90.8
1980,130.4
1981,161
1982,154.2
1983,117.6
1984,70.4
1985,84
1986,99
1987,74.6
1988,77.2
1989,106.6
1990,74.4
1991,62.8
1992,68.8
1993,66.2
1994,57.8
1995,95.6
1996,63.4
1997,95.1
1998,79
1999,89.8
2000,75.1
2001,70.1
2002,89.7
2003,125.8
2004,81.8
2005,89.2
2006,71.1
2007,37.4
2008,62.4
2009,55.1
2010,62.2
2011,51.7
2012,41.9
2013,21.6
2014,56
2015,69
2016,43
2017,117
2018,112.1
2019,41.6
2020,32.3
