UF,GO
Cidade,MONTIVIDIU
Nome Posto,MONTIVIDIU
Latitude,-17.364722222222223
Longitude,-51.07666666666667
Codigo,1751004
Qtd. Anos,47
Ano,Maxima
1974,46
1975,63.2
1976,85.2
1977,48.3
1978,90.3
1979,100.3
1980,77.1
1981,75.1
1982,109.3
1983,71.4
1984,138.2
1985,93.3
1986,130.4
1987,79.6
1988,100.6
1989,92.6
1990,39
1991,22.4
1992,80
1993,60
1994,71.3
1995,121.8
1996,97.2
1997,55.1
1998,59
1999,65.4
2000,88
2001,86
2002,72
2003,69.8
2004,90.4
2005,116.5
2006,92.1
2007,79.9
2008,59
2009,93
2010,100.9
2011,72.5
2012,60
2013,116.7
2014,137.6
2015,97
2016,91.3
2017,67.8
2018,92.2
2019,63
2020,104.2
