UF,PB
Cidade,BELEM DO BREJO DO CRUZ
Nome Posto,BELEM DO BREJO DO CRUZ
Latitude,-6.183333333333334
Longitude,-37.53333333333333
Codigo,637022
Qtd. Anos,49
Ano,Maxima
1935,57.2
1936,51
1937,40
1938,111
1939,82.2
1940,80.2
1941,76
1942,42
1943,48.4
1944,80
1945,114
1946,59
1947,23
1948,61
1949,73
1950,66
1951,108
1952,133
1953,197.3
1954,74
1955,122
1956,135
1957,135
1958,64.6
1959,82.3
1960,67
1961,75
1962,62
1963,64
1964,95
1965,100
1966,95
1967,103.2
1968,82.3
1969,55
1970,26
1971,72.3
1972,114.2
1973,55
1974,101.6
1975,78.3
1976,72.3
1977,91.2
1978,110
1979,40
1980,78
1981,75
1982,91.2
1983,52.2
