UF,PB
Cidade,SAO JOSE DE PIRANHAS
Nome Posto,SAO JOSE DE PIRANHAS
Latitude,-7.115555555555555
Longitude,-38.49666666666667
Codigo,738088
Qtd. Anos,82
Ano,Maxima
1910,63.8
1911,68.8
1912,87.2
1913,67.2
1914,45.2
1915,64.8
1916,67.2
1917,70.7
1918,64.6
1919,64.6
1920,64.2
1921,62.6
1922,61
1923,54.6
1924,118.1
1925,53.5
1926,64.1
1927,43.6
1928,49.6
1929,70.2
1930,63.5
1931,51.8
1932,42.2
1933,70
1934,43.5
1935,69.6
1962,69
1963,95.1
1964,93
1965,105.3
1966,69
1967,108.4
1968,120.4
1969,104.2
1970,53.2
1971,80.3
1972,61.9
1973,75.2
1974,70
1975,98.2
1976,123.5
1977,78.4
1978,104.3
1979,108
1980,88
1981,162
1982,79.2
1983,112.5
1984,73.8
1985,148.2
1986,70.5
1987,77
1988,64.4
1989,73.2
1990,61
1991,89
1993,50
1994,93.8
1995,110
1996,118.5
1997,73.4
1998,60.5
1999,119.2
2000,64
2001,72.7
2002,84
2003,61.4
2004,62.5
2005,90.2
2006,91
2007,71.2
2008,134.2
2009,70.5
2010,152.5
2011,109
2012,81
2013,88
2014,103.8
2015,70
2016,47.1
2017,100.2
2018,102.7
