UF,PB
Cidade,SERRARIA
Nome Posto,SERRARIA
Latitude,-6.816666666666666
Longitude,-35.63333333333333
Codigo,635048
Qtd. Anos,52
Ano,Maxima
1911,66.2
1912,65.6
1913,64.9
1914,67
1915,44.1
1916,66.6
1917,64.5
1918,67.5
1919,54.6
1920,63.5
1921,54.8
1922,63.4
1923,52.6
1924,62.2
1925,64.2
1926,57.4
1927,62
1928,56
1929,49.2
1930,57.5
1962,43.7
1963,71.9
1964,92.1
1965,65.6
1966,69
1967,60.7
1968,40.4
1969,70.8
1970,75.8
1971,50
1972,50.2
1973,92
1974,75
1975,80.4
1976,85.3
1977,62.4
1978,81.2
1979,84
1980,106.6
1981,49.2
1982,52
1983,62
1984,83
1985,76
1986,87.6
1987,41
1988,63.2
1989,47
1990,50.4
1991,45.4
1993,87.2
1994,54
