UF,PB
Cidade,PICUI
Nome Posto,PICUI
Latitude,-6.516666666666667
Longitude,-36.36666666666667
Codigo,636038
Qtd. Anos,69
Ano,Maxima
1911,38.8
1912,38.2
1913,63.3
1914,58.3
1915,46.5
1916,40.3
1917,62.3
1918,63
1919,18.4
1920,127.8
1921,52
1922,85.3
1923,89
1924,56.2
1925,53.5
1926,70
1927,62.6
1928,81.2
1929,51
1930,27.5
1931,35.8
1932,27.2
1933,53
1934,66.5
1935,15.6
1936,34
1937,20
1938,3.3
1939,48
1940,259
1941,45
1942,20.4
1943,42
1944,29
1945,47
1946,20
1947,72
1948,78
1949,70
1950,28
1951,51
1952,28
1953,43
1954,36
1955,70
1956,44.6
1957,33.7
1958,20.5
1959,40.4
1960,147
1961,57.1
1962,35
1963,73
1964,45
1965,75.7
1966,72.6
1967,55.3
1968,48.8
1969,60.4
1970,65.6
1971,43
1972,40
1973,18
1974,93
1979,40
1980,30.2
1981,52
1982,52
1983,17.8
