UF,PB
Cidade,GUARABIRA
Nome Posto,GUARABIRA
Latitude,-6.85
Longitude,-35.483333333333334
Codigo,635040
Qtd. Anos,84
Ano,Maxima
1910,24
1911,61
1912,66.6
1913,54.8
1914,76.5
1916,67.5
1917,36.5
1918,63
1919,61.7
1920,64.5
1921,64
1922,61
1923,51.5
1924,65.9
1925,65
1926,64.2
1927,64.6
1928,40.5
1929,60.2
1930,45.7
1931,3
1944,80.7
1945,78.2
1946,134.8
1947,175.2
1948,69.1
1949,94.8
1950,187.2
1951,168.5
1952,88.6
1953,92.3
1954,54.4
1955,67.8
1956,78.6
1957,105.3
1958,130.7
1959,59
1960,100
1961,80.7
1962,23.2
1963,75
1964,113
1965,50
1966,83
1967,56.2
1968,68
1969,90
1970,42.6
1971,13.8
1973,89.6
1974,55.2
1975,51.1
1976,116
1977,55.4
1978,55.2
1979,50.4
1980,144.2
1981,66.1
1982,95.4
1994,62.2
1995,99.4
1996,45.8
1997,67.2
1998,42.3
1999,74.2
2000,126.4
2001,78.8
2002,50.4
2003,96.5
2004,119.8
2005,78.1
2006,45.6
2007,57.5
2008,91
2009,96.7
2010,45.6
2011,70
2012,98.5
2013,58.3
2014,57.5
2015,49.4
2016,66.2
2017,103.7
2018,96.1
