UF,PB
Cidade,CAMPINA GRANDE
Nome Posto,BOA VISTA
Latitude,-7.266666666666667
Longitude,-36.233333333333334
Codigo,736024
Qtd. Anos,44
Ano,Maxima
1923,39
1924,60
1925,58
1931,34.5
1932,28
1933,16
1934,100
1935,34
1936,51
1938,48
1939,75
1940,48
1941,69
1942,32
1943,45
1944,40
1945,30
1946,34
1947,59.3
1948,40
1949,33.5
1950,39.9
1951,30
1952,130.8
1953,37.9
1954,42
1955,35.2
1956,75.7
1957,95
1958,30
1959,50.2
1960,122
1961,63.3
1962,50
1963,159.7
1964,57
1965,60.2
1966,88.2
1967,56.4
1968,60
1969,70.5
1970,51.7
1971,65.4
1993,31
