UF,PB
Cidade,SALGADINHO
Nome Posto,SALGADINHO
Latitude,-7.1
Longitude,-36.85
Codigo,736010
Qtd. Anos,58
Ano,Maxima
1935,82.6
1936,36.8
1937,83
1938,6
1939,37.2
1940,56.6
1941,77.3
1942,42.8
1943,49.8
1944,56.5
1945,49.4
1946,77.6
1947,84.8
1948,110.4
1949,140.5
1950,56.3
1951,21.5
1952,28.3
1953,30
1954,42
1955,42
1956,42.5
1957,35.5
1958,14.5
1959,42.8
1960,35.1
1961,40.3
1962,63.4
1963,159.3
1964,59
1965,43.1
1966,27.3
1967,66.5
1968,40
1969,80
1970,44.9
1971,61
1972,50.5
1973,122.3
1974,68.2
1975,134
1976,49.8
1977,110.6
1978,75.4
1979,71
1980,30
1981,72
1982,62
1983,45.2
1984,84
1985,95
1986,80.4
1987,99
1988,78.4
1989,78.2
1990,31.8
1991,75
1993,25
