UF,PB
Cidade,PRATA
Nome Posto,PRATA 
Latitude,-7.683333333333334
Longitude,-37.1
Codigo,737004
Qtd. Anos,54
Ano,Maxima
1962,20.6
1963,93
1964,64.9
1965,112.6
1966,112.3
1967,140.8
1968,72.9
1969,102.3
1970,65.2
1971,103.7
1972,55.2
1973,75
1974,88
1975,67.7
1976,142.2
1977,127
1978,54.9
1979,135.9
1980,53.5
1981,74.4
1982,84.5
1983,98
1984,71.6
1985,72.2
1986,65.4
1987,81.6
1988,120
1989,72.4
1993,62
1994,60.8
1995,147.6
1996,59
1997,59.6
1998,71.2
1999,58
2000,50.1
2001,59
2002,48
2003,109.9
2004,72.5
2005,76
2006,75
2007,80.8
2008,114.5
2009,106
2010,130.3
2011,97.2
2012,30.8
2013,58
2014,82
2015,85
2016,70.3
2017,101.1
2018,42.7
