UF,PB
Cidade,SUME
Nome Posto,SUME
Latitude,-7.65
Longitude,-36.93333333333333
Codigo,736003
Qtd. Anos,78
Ano,Maxima
1931,56.1
1932,8
1934,58.1
1935,450.3
1936,85
1937,34
1938,24
1939,72
1940,87.9
1941,42
1942,48
1943,37.5
1944,104.8
1945,79
1946,90.5
1947,56
1948,74.5
1949,27
1950,35
1951,40.5
1952,100.3
1953,72
1954,101.5
1955,77.5
1956,45
1957,98
1958,97
1959,129
1960,80.4
1961,56.2
1962,52
1963,66.5
1964,52.5
1965,100.3
1966,111.2
1967,83.3
1968,51.9
1969,85.6
1970,92
1971,52.6
1972,61
1973,80.2
1974,84.5
1975,104.2
1976,9.3
1977,48.2
1979,67
1980,45
1981,44.6
1982,63.8
1983,65
1984,51.8
1985,118.4
1994,103.2
1995,79.3
1996,110.2
1997,70.4
1998,57.6
1999,60.4
2000,115
2001,86.4
2002,106.4
2003,93
2004,91.2
2005,91
2006,45.2
2007,38.5
2008,88
2009,62.1
2010,82
2011,81.3
2012,10.1
2013,28
2014,176.6
2015,28.8
2016,54.4
2017,37
2018,38.5
