UF,PB
Cidade,SOUSA
Nome Posto,SOUSA
Latitude,-6.75
Longitude,-38.233333333333334
Codigo,638036
Qtd. Anos,66
Ano,Maxima
1910,60.6
1911,68.3
1913,39
1914,65.8
1915,44.5
1916,69
1917,63.5
1918,72.2
1919,64.4
1920,59
1921,68.2
1922,75.3
1923,42.2
1924,73.2
1925,58.2
1926,58.8
1927,66.3
1928,59.7
1929,52.3
1930,59.5
1931,35.3
1932,27
1933,78.5
1934,93
1935,84
1936,107.5
1937,69.7
1938,2.8
1939,74
1940,119.6
1941,105
1942,72.8
1943,54.4
1944,78
1945,114.7
1946,61
1947,148
1948,45
1949,86
1950,64
1951,60
1952,60
1953,102
1954,71
1955,52
1956,81
1957,53
1958,168
1959,59
1960,71
1961,121
1962,38
1963,110
1964,95
1965,60
1966,70
1967,127.2
1968,74.5
1969,64.5
1970,76
1971,28.2
1972,66.8
1977,99
1978,59.4
1979,83.4
1983,32
