UF,PB
Cidade,SOUSA
Nome Posto,SAO GONCALO
Latitude,-6.835833333333333
Longitude,-38.31166666666666
Codigo,638113
Qtd. Anos,71
Ano,Maxima
1937,47.8
1938,30.5
1941,125.2
1942,93.3
1943,74.6
1944,70.2
1945,92
1946,46
1947,107
1948,57.5
1949,56.4
1950,55.2
1951,115.1
1952,71.5
1953,113.5
1954,80.5
1955,88.5
1956,72.3
1957,110.4
1958,127.7
1959,83.5
1960,108.1
1961,118.4
1962,76.5
1963,99
1964,125
1965,82.4
1966,66.9
1967,113.8
1968,67.5
1969,85.6
1970,149.5
1971,139.7
1972,97.9
1973,106.6
1974,83
1975,58.8
1976,105.2
1977,87.6
1978,90.2
1979,66
1980,92.3
1981,76.2
1982,24.4
1983,85.2
1984,72.7
1985,63.8
1994,125.9
1995,120
1996,50
1997,73.8
1998,48.4
1999,57.4
2000,105.2
2001,116.4
2002,94.4
2003,121.8
2004,65.4
2005,107.6
2006,50.2
2007,94
2008,192.6
2009,114.2
2011,80.2
2012,90.7
2013,89.6
2014,85
2015,108.9
2016,85.6
2017,73
2018,105.1
