UF,PB
Cidade,MANAIRA
Nome Posto,MANAIRA
Latitude,-7.7
Longitude,-38.166666666666664
Codigo,738015
Qtd. Anos,57
Ano,Maxima
1933,39.8
1934,81.6
1937,12.1
1938,115
1939,65.2
1940,54.2
1941,110
1942,47
1943,61
1944,85
1945,115
1946,90
1947,71.5
1948,70
1949,54.6
1950,80
1951,55
1952,126
1953,123
1954,90
1955,120
1956,100.7
1957,90
1958,105.5
1959,119
1960,107.9
1961,65.4
1962,25.5
1963,56.4
1964,80
1965,63
1966,63.3
1967,64.6
1968,100
1969,110
1970,112
1971,111
1972,81.2
1973,56.2
1974,101
1975,100
1976,50
1977,55
1978,85
1979,134
1980,68
1981,72
1982,43
1983,53
1984,50.6
1985,99
1986,107
1987,48
1988,75.1
1989,71
1990,80.1
1993,31
