UF,PB
Cidade,TEIXEIRA
Nome Posto,TEIXEIRA
Latitude,-7.216666666666667
Longitude,-37.266666666666666
Codigo,737002
Qtd. Anos,91
Ano,Maxima
1911,30
1926,98.3
1927,60.2
1928,54.4
1929,56.5
1930,42.6
1931,56.3
1932,56.3
1933,79.5
1934,66.5
1935,72.5
1936,70
1937,73
1938,66.5
1939,79.5
1940,74
1941,60
1942,50
1943,52.5
1944,64
1945,80
1946,80
1947,70
1948,64
1949,96
1950,80
1951,60
1952,60
1953,75
1954,74
1955,106
1956,107
1957,82
1958,49
1959,63
1960,140
1961,103.8
1962,49
1963,95
1964,105.9
1965,104.5
1966,87.6
1967,92.1
1968,77.5
1969,88.3
1970,47.8
1971,69.7
1972,57.3
1973,92.2
1974,130.7
1975,107.4
1976,98.2
1977,76.3
1978,130.6
1979,50.2
1980,65.6
1981,133.6
1982,77.2
1983,51.3
1984,79.9
1985,144.1
1988,51.7
1989,77.9
1990,40.2
1991,88.8
1993,50.1
1994,105.6
1995,123.1
1996,72.6
1997,52.2
1998,114.2
1999,72.1
2000,77.2
2001,74.6
2002,102
2003,64.9
2004,124.8
2005,98.4
2006,70.1
2007,86.3
2008,124.6
2009,134.6
2010,68.2
2011,74.6
2012,43.8
2013,87
2014,99
2015,89.4
2016,150.8
2017,119
2018,93.4
