UF,PB
Cidade,NAZAREZINHO
Nome Posto,NAZAREZINHO
Latitude,-6.916666666666667
Longitude,-38.333333333333336
Codigo,638048
Qtd. Anos,47
Ano,Maxima
1936,90
1937,16
1938,45.9
1939,77
1940,81.6
1941,98
1942,65
1943,63.5
1944,20.4
1945,69.2
1946,37.3
1947,110.3
1948,15.7
1949,73.3
1950,65.2
1951,110
1952,55.3
1954,27.5
1955,44.5
1956,20.5
1957,10.5
1958,66
1959,87.7
1960,105
1961,77.7
1962,68.3
1963,72.6
1964,125
1965,68.2
1966,50
1967,66
1968,66.4
1969,79
1970,79
1971,98
1972,72.3
1973,130
1974,83
1975,88.2
1976,130
1977,120
1978,127
1979,192
1980,82
1981,63
1982,98
1983,60
