UF,PB
Cidade,SAPE
Nome Posto,SAPE
Latitude,-7.1
Longitude,-35.233333333333334
Codigo,735006
Qtd. Anos,69
Ano,Maxima
1924,70.2
1925,43.3
1926,69.8
1927,67.8
1928,67.6
1929,64.8
1930,29.9
1931,80.8
1932,59.4
1933,78.5
1934,68.2
1935,70
1936,100
1937,176.6
1938,43.5
1939,69.3
1940,138.1
1941,76.3
1942,79
1943,114.3
1944,60
1945,90.9
1946,37
1947,61.7
1948,81
1949,78.5
1950,74.3
1951,114.3
1952,46
1953,36.4
1954,21
1955,70
1956,68
1957,91
1958,54
1959,50
1960,90
1961,72
1962,75
1963,40
1964,102
1965,91
1966,50.5
1967,42
1968,77.5
1969,13.2
1970,146
1971,54
1972,100
1973,69.2
1974,154.2
1975,75
1976,80
1977,97.3
1978,130
1979,86.5
1980,94.1
1981,48.5
1982,82.5
1983,38.9
1984,80.5
1985,125.7
1986,105.4
1987,69.5
1988,81.5
1989,67.8
1990,52.5
1991,57
1993,45
