UF,PB
Cidade,PRINCESA ISABEL
Nome Posto,PRINCESA ISABEL
Latitude,-7.733333333333333
Longitude,-38.016666666666666
Codigo,738013
Qtd. Anos,81
Ano,Maxima
1911,57.6
1912,65.2
1913,63.3
1914,66
1915,28.6
1916,66
1917,77.5
1918,66
1919,16.6
1920,55.5
1921,63.3
1922,67
1923,65.5
1924,65
1925,66.5
1926,67.4
1927,63.5
1928,66.5
1929,66
1930,30.4
1931,36.6
1932,84.5
1933,69.5
1934,60.2
1935,90
1936,42
1937,117
1938,66.3
1939,70
1940,89
1941,138.3
1942,75.2
1943,70.5
1944,76.7
1945,70.2
1946,84.2
1947,82.2
1948,126
1949,104
1950,63
1951,48
1952,90
1953,127
1954,75
1955,65
1956,124
1957,61.3
1958,61
1959,46
1960,112
1961,70
1962,57
1963,77
1964,75
1965,72
1966,51.8
1967,95
1968,153
1969,121
1970,78
1971,68.2
1972,80.2
1973,104.5
1974,71
1975,119.5
1976,56
1977,71
1978,40
1979,59.2
1980,74
1981,63
1982,39
1983,56
1984,91
1985,100
1986,138.8
1987,150
1988,87.6
1989,89.3
1990,53.2
1991,115
