UF,PB
Cidade,MONTEIRO
Nome Posto,MONTEIRO
Latitude,-7.883333333333333
Longitude,-37.11666666666667
Codigo,737014
Qtd. Anos,60
Ano,Maxima
1911,56
1925,46.2
1926,60.4
1927,60.8
1928,36.4
1929,64.3
1930,66.3
1931,50.3
1932,33
1933,39
1934,44.3
1935,84.5
1936,48.4
1937,69.3
1938,43.3
1939,25.4
1940,65.5
1941,78.5
1942,59.8
1943,60.7
1944,76.1
1945,134.4
1946,42.3
1947,87.3
1948,152.3
1949,160.5
1950,50.5
1951,72.5
1952,54.2
1953,44
1954,15
1955,77.5
1956,38
1957,72
1958,60
1959,63
1960,63
1961,53
1962,35
1963,63
1964,93
1965,92.4
1966,53.2
1967,130.4
1968,50.3
1969,73.2
1970,96.4
1972,73
1973,64
1974,62
1975,62
1976,60
1977,68.2
1979,8.3
1980,36.8
1981,60.9
1982,14.8
1983,19
1984,98
1985,120
