UF,PB
Cidade,JOAO PESSOA
Nome Posto,JOAO PESSOA
Latitude,-7.116666666666666
Longitude,-34.88333333333333
Codigo,734003
Qtd. Anos,102
Ano,Maxima
1912,41
1913,78
1914,70.3
1915,49.1
1916,68
1917,76.3
1918,123.9
1919,69.6
1920,56.7
1921,67.6
1922,89.8
1923,69.5
1924,68.5
1925,91.4
1926,68.5
1927,89.7
1928,123.9
1929,96
1930,58.5
1931,114.8
1937,91.6
1938,84.7
1939,179.4
1940,203.4
1941,94.5
1942,93.4
1943,150.8
1944,174.3
1945,129.5
1946,84.3
1947,92.2
1948,88.9
1949,127.6
1950,94.3
1951,143.5
1952,74
1953,94.6
1954,126.6
1955,181.8
1956,93.9
1957,76.9
1958,124.5
1959,73.1
1960,123.4
1961,155.6
1962,76
1963,157.2
1964,177.4
1965,110.8
1966,78.6
1967,77.6
1968,69.2
1969,90
1970,67.8
1971,3.4
1972,20.6
1973,133
1974,99
1975,115
1976,99.8
1977,108.3
1978,148
1979,115.8
1981,47.4
1982,33.6
1983,98
1984,124.6
1985,130.8
1986,194
1987,147.2
1988,112
1989,149
1990,131.2
1991,63.9
1992,100.9
1993,95.6
1994,133
1995,141.4
1996,186
1997,99.6
1998,116
1999,61.4
2000,168.2
2001,56.8
2002,89.4
2003,103.4
2004,116.7
2005,129.8
2006,51
2007,105.4
2008,139.2
2009,146.6
2010,43
2011,165
2012,151.6
2013,159.2
2014,75.5
2015,94.2
2016,108.4
2017,140.4
2018,106.2
2019,182.4
