UF,PB
Cidade,MULUNGU
Nome Posto,MULUNGU
Latitude,-7.029444444444445
Longitude,-35.46805555555556
Codigo,735009
Qtd. Anos,94
Ano,Maxima
1926,76.2
1927,83.4
1928,39.3
1929,58
1930,36.2
1931,72.5
1932,72.5
1933,62.8
1934,66
1935,82.9
1936,51.4
1937,80.9
1938,26
1939,55.8
1940,124.7
1941,98.4
1942,46.6
1943,98.2
1944,42.1
1945,74.5
1946,24
1947,28
1948,49.3
1949,42.4
1950,56.3
1951,56.2
1952,35.4
1953,35.4
1954,42.4
1955,42.3
1956,70.3
1957,35.4
1958,56.4
1959,63.2
1960,73.2
1961,56.3
1962,56.3
1963,87.4
1964,85.8
1965,96.3
1966,58.6
1967,56.4
1968,52.2
1969,63.4
1970,50.2
1971,44.4
1972,50
1973,49
1974,46.3
1975,12.5
1976,11.9
1977,59
1978,100
1979,52.2
1980,49.8
1981,41
1982,43.2
1983,33.8
1984,35.4
1985,40
1986,45
1987,37.1
1988,45.6
1989,77.2
1990,45.4
1991,39.3
1992,49
1993,49
1994,51.2
1995,43
1996,53.3
1997,47.9
1998,37.5
1999,79.5
2000,73
2001,57.5
2002,47.3
2003,85
2004,183.6
2005,48.5
2006,27
2007,72
2008,68.1
2009,74.4
2010,50.3
2011,113.3
2012,60.5
2013,51
2014,47
2015,72
2016,66.6
2017,62
2018,50
2019,30.6
