UF,PB
Cidade,CONCEICAO
Nome Posto,CONCEICAO
Latitude,-7.55
Longitude,-38.516666666666666
Codigo,738020
Qtd. Anos,82
Ano,Maxima
1911,21
1912,50
1913,63
1914,65
1915,68.6
1916,116
1917,136
1918,112
1919,78
1920,98
1921,79
1922,67
1923,54.5
1924,104.7
1925,45.5
1926,45
1927,45.5
1928,77
1929,77
1930,23.5
1931,47.8
1932,44.2
1933,69.1
1934,104
1935,102
1936,91
1937,93
1938,70
1939,78
1940,162
1941,114
1942,38
1943,87
1944,56
1945,82
1946,97
1947,52.5
1948,63.5
1949,87
1950,82.5
1951,57
1952,57.5
1953,60
1954,58
1955,54
1956,67.5
1957,106
1958,85
1959,47
1960,46
1961,65
1962,116
1963,83
1964,72
1965,270
1966,130
1967,55.2
1968,63.8
1969,48.4
1970,73.2
1971,108.4
1972,73
1973,82.4
1974,100
1975,109
1976,88
1977,119
1978,30
1979,87
1980,114.6
1981,74.2
1982,40.2
1983,85
1984,63.2
1985,110
1986,80.2
1987,62.3
1988,82
1989,108.2
1990,98.4
1991,64.2
1993,45
