UF,PB
Cidade,POMBAL
Nome Posto,POMBAL
Latitude,-6.766666666666667
Longitude,-37.81666666666667
Codigo,637032
Qtd. Anos,75
Ano,Maxima
1910,63
1911,64.5
1912,86.5
1913,54.8
1914,108.5
1915,59
1916,66.5
1917,35
1918,81.6
1919,40
1920,54
1921,47.1
1922,76
1923,74.1
1924,35.2
1925,66.3
1926,69
1927,40
1928,66.3
1929,65
1930,44.5
1931,61.8
1932,63
1933,59.6
1934,56.2
1935,69.7
1936,79.4
1937,49.8
1938,106.6
1939,74
1940,49.9
1941,70.2
1942,62.4
1943,45
1944,52
1945,61.3
1946,100
1947,78.3
1948,52.6
1949,63
1950,70.2
1951,70.6
1952,58.5
1953,102.4
1954,72.6
1955,63.3
1956,107.3
1957,70.3
1958,98.4
1959,105.1
1960,52.3
1961,49.7
1962,58.3
1963,61.3
1964,99.6
1965,84
1966,110
1967,62
1968,100.2
1969,59.2
1970,70.6
1971,86.6
1972,85.3
1973,51
1974,109.4
1975,104
1976,94.6
1977,92.2
1978,69.1
1979,113
1980,70
1981,76
1982,58
1983,45
1984,0.6
