UF,PB
Cidade,PIANCO
Nome Posto,PIANCO
Latitude,-7.214166666666667
Longitude,-37.92583333333333
Codigo,737006
Qtd. Anos,110
Ano,Maxima
1910,30.5
1911,50.8
1912,64.5
1913,87.9
1914,78.2
1915,34.5
1916,82.3
1917,84.2
1918,132.6
1919,85.6
1920,66.8
1921,86.2
1922,86.4
1923,55
1924,82.6
1925,84.2
1926,65.6
1927,66.2
1928,68
1929,68.2
1930,64
1931,40.3
1932,68.5
1933,75
1934,119.8
1935,98.5
1936,67.6
1937,56.5
1938,87.6
1939,54.5
1940,101
1941,117
1942,131.4
1943,60.3
1944,81.3
1945,84
1946,72
1947,50.1
1948,58.5
1949,96
1950,50.6
1951,80.6
1952,39
1953,40
1954,113
1955,53.5
1956,101
1957,101
1958,74
1959,116
1960,126.5
1961,85
1962,26
1963,135.5
1964,119.2
1965,53.5
1966,111
1967,102
1968,78.4
1969,139.5
1970,80
1971,115.3
1972,80.2
1973,173
1974,103
1975,100
1976,85
1977,85
1978,72
1979,70
1980,97
1981,91
1982,42
1983,74
1984,62.3
1985,186.3
1986,74
1987,45
1988,87
1989,96
1990,90
1991,62
1992,62
1993,49
1994,60
1995,149
1996,97
1997,75
1998,89
1999,54
2000,76.7
2001,68.2
2002,100
2003,67.3
2004,90
2005,74
2006,53.5
2007,78
2008,77.4
2009,67.3
2010,61.6
2011,47.6
2012,39.8
2013,59
2014,92
2015,45
2016,96.7
2017,65.6
2018,78.3
2019,54.5
