UF,PB
Cidade,AREIA
Nome Posto,AREIA
Latitude,-6.966666666666667
Longitude,-35.7
Codigo,635030
Qtd. Anos,75
Ano,Maxima
1910,24.3
1911,58
1912,72.2
1913,35.7
1914,57.3
1915,46.2
1916,63
1917,50.4
1918,55.2
1919,75.5
1920,50.6
1921,49.6
1922,55.7
1923,36.3
1924,76.2
1925,118.3
1931,70
1932,51.6
1933,72.7
1934,64
1935,69
1936,180
1937,70
1938,86.5
1939,111.6
1940,74
1941,77.3
1942,47
1943,66.4
1944,49
1945,56
1946,35.5
1947,63
1948,74
1949,72.5
1950,64
1951,77
1952,49.5
1953,58.3
1954,76.5
1955,56.5
1956,115
1961,70.4
1962,40.2
1963,58.8
1964,105.7
1965,54.7
1966,55.3
1967,79.4
1968,48.2
1969,88.8
1970,87.8
1971,59.9
1972,82.8
1973,57.2
1974,90.4
1975,69.4
1976,74
1977,37.5
1978,139.4
1979,48.9
1980,84.2
1981,61
1982,70.6
1983,43
1984,59
1985,155
1986,148
1987,59.4
1988,81
1989,48
1990,54.6
1991,64
1993,71.6
1994,28
