UF,PB
Cidade,ITAPORANGA
Nome Posto,ITAPORANGA
Latitude,-7.3
Longitude,-38.166666666666664
Codigo,738017
Qtd. Anos,75
Ano,Maxima
1910,65.8
1911,65.5
1912,61.5
1913,66.4
1914,60.5
1915,46.3
1916,40.2
1917,86
1918,62.5
1919,64.8
1920,74.6
1921,86.7
1922,95.8
1923,93.3
1924,94.5
1925,91
1926,107.4
1927,72.9
1928,115.6
1929,106.4
1930,42.5
1931,60
1932,175
1933,51.2
1934,94.3
1935,142.2
1936,61
1937,131.5
1938,48.5
1939,64.8
1940,50.4
1941,97
1942,47.3
1943,96.3
1944,74.3
1945,88.2
1946,68.7
1947,83.2
1948,100.5
1949,73.6
1950,75.8
1951,92.5
1952,74.8
1953,99.7
1954,95.4
1955,56.3
1956,82.8
1957,54.6
1958,79.5
1959,48.3
1960,83.4
1961,77.4
1962,126.3
1963,116.3
1964,93.2
1965,52.6
1966,73.6
1967,106.8
1968,95.2
1969,119
1970,86.4
1971,82.8
1972,54.7
1973,95.5
1974,137.5
1975,58.5
1976,91.5
1977,84.5
1978,74.8
1979,92
1980,91.6
1981,70
1982,65
1983,92.4
1993,50
