UF,PB
Cidade,BOQUEIRAO
Nome Posto,BODOCONGO-1
Latitude,-7.533333333333333
Longitude,-35.983333333333334
Codigo,735028
Qtd. Anos,60
Ano,Maxima
1933,30
1934,39
1935,110
1936,58.5
1937,80
1938,32
1939,56
1940,73
1941,77
1942,30
1943,50
1944,70
1945,48
1946,33
1947,82.5
1948,33
1949,37
1950,20
1951,4
1952,1.8
1953,3.3
1954,5
1955,37
1956,5
1957,2
1958,14.8
1959,35
1960,41.5
1961,36
1962,86
1963,84
1964,62.3
1965,64.7
1966,44
1967,80
1968,36
1969,55.5
1970,37
1971,48
1972,75
1973,60
1974,92.4
1975,48.8
1976,78
1977,60.6
1978,59
1979,85
1980,37
1981,128.2
1982,83.2
1983,33.4
1984,52
1985,35
1986,63
1987,25
1988,69
1989,68
1991,49.4
1993,19
1994,56
