UF,PB
Cidade,ARARUNA
Nome Posto,ARARUNA
Latitude,-6.516666666666667
Longitude,-35.733333333333334
Codigo,635028
Qtd. Anos,79
Ano,Maxima
1911,48.9
1912,32.8
1913,72.4
1914,66
1915,58
1916,57.5
1917,185
1918,43
1919,51.5
1920,98.5
1921,80
1922,38.6
1923,33.4
1924,140
1925,118.3
1929,60.6
1931,81.7
1932,66.6
1933,55.2
1934,44
1935,72
1936,97.3
1937,76
1938,41.9
1939,54.5
1940,66
1941,112.6
1942,57.3
1943,72.6
1944,67.2
1945,137.4
1946,32.3
1947,49.3
1948,80.4
1949,49.7
1950,91
1951,65.5
1952,91.5
1953,56.5
1954,39
1955,47.4
1956,71
1957,59.5
1958,38.4
1959,39.5
1960,51
1961,60
1962,53
1963,65
1964,125
1965,39
1966,122
1967,147
1968,70
1969,47
1970,59.2
1971,60
1972,55
1973,64
1974,164.6
1975,45.5
1976,80.4
1977,75.2
1978,75.5
1979,102
1980,42.2
1981,100
1982,75
1983,73
1984,50.2
1985,82
1986,165
1987,49.2
1988,78.4
1989,45.2
1990,51
1991,16.2
1993,52.4
1994,50
