UF,PB
Cidade,SAO MAMEDE
Nome Posto,SAO MAMEDE
Latitude,-6.916666666666667
Longitude,-37.1
Codigo,637037
Qtd. Anos,47
Ano,Maxima
1962,8.2
1963,98.3
1964,114.6
1965,91.4
1966,80.9
1967,82
1968,47.2
1969,100.4
1970,128
1971,81.4
1972,127
1973,33
1974,90.9
1975,110.6
1976,64
1977,80.2
1978,72
1979,65
1980,45.4
1981,71.6
1982,65.8
1983,48.2
1994,114
1995,87
1996,95
1997,70
1998,32
1999,78
2000,52
2001,100
2002,75
2003,58.5
2004,122
2005,117
2006,68.2
2007,51.5
2008,80.5
2009,89.4
2010,66.2
2011,60
2012,84.3
2013,43
2014,107.8
2015,83.6
2016,68.4
2017,50
2018,68.5
