UF,PB
Cidade,AGUIAR
Nome Posto,AGUIAR
Latitude,-7.083333333333333
Longitude,-38.18333333333333
Codigo,738025
Qtd. Anos,58
Ano,Maxima
1933,91.8
1934,70.1
1935,62.8
1936,68
1937,129.3
1938,64.9
1939,68.6
1940,85.4
1941,48.2
1942,56
1943,71.4
1944,61
1945,82.4
1946,47.8
1947,195.4
1948,79.8
1949,153.5
1950,75.7
1951,86.8
1952,82.2
1953,67.4
1954,160
1955,117.5
1956,95.8
1957,75
1958,57.8
1960,57.4
1961,60
1962,8
1963,98
1964,50
1965,95
1966,20.2
1967,100.4
1968,92.2
1969,82.3
1970,87.3
1971,95.2
1972,53.2
1973,135
1974,83.2
1975,55
1976,122
1977,86
1978,9.5
1979,85
1980,118
1981,110
1982,108
1983,63
1984,102.5
1985,84.4
1986,69
1987,65
1988,79.8
1989,73
1990,80
1991,75
