UF,PB
Cidade,CAMALAU
Nome Posto,CAMALAU
Latitude,-7.916666666666667
Longitude,-36.86666666666667
Codigo,736021
Qtd. Anos,56
Ano,Maxima
1962,14.6
1963,69.8
1964,54.6
1965,59.8
1966,170.7
1967,108.8
1968,74.2
1969,136.1
1970,64.2
1971,70.2
1972,117.3
1973,84.2
1974,172.4
1975,112.6
1976,90.8
1977,111
1978,109
1979,116
1980,74
1981,115.2
1982,42
1983,32
1984,84.2
1985,96.2
1986,130.4
1987,70
1988,30.2
1989,71
1990,28.4
1991,125
1993,41.2
1994,98
1995,72.4
1996,106
1997,72.2
1998,62.2
1999,44
2000,79.1
2001,64
2002,85
2003,40
2004,96
2005,56
2006,64.6
2007,44
2008,56
2009,153.8
2010,51
2011,65.6
2012,41
2013,85
2014,117.9
2015,62
2016,47.3
2017,52
2018,12.3
