UF,PB
Cidade,CAJAZEIRAS
Nome Posto,CAJAZEIRAS
Latitude,-6.883333333333333
Longitude,-38.56666666666667
Codigo,638028
Qtd. Anos,70
Ano,Maxima
1910,67
1911,68.5
1912,65
1913,65.1
1914,78.2
1915,50.2
1916,61.3
1917,112
1918,115
1919,59.5
1920,116
1921,92.3
1922,62.8
1923,71.5
1924,93.1
1925,65
1930,90
1931,36.5
1932,67.5
1933,60
1934,128.6
1935,110.7
1936,44.3
1937,73
1938,70.3
1939,61.3
1940,90
1941,75.4
1942,81
1943,67
1944,51.7
1945,67.5
1946,94.5
1947,92
1948,90
1949,73.5
1950,74
1951,73
1952,88.5
1953,50
1954,81.5
1955,80.2
1956,35
1957,80.7
1958,100
1959,72
1960,66
1961,90
1962,55
1963,100.5
1964,100
1965,75
1966,71.5
1967,111.8
1968,113
1969,80.3
1970,83.2
1971,70
1972,89
1973,130
1974,99.6
1975,76
1976,131.6
1977,83.6
1978,92.6
1979,110.4
1980,135.4
1981,85.6
1982,82.1
1983,62.8
