UF,PB
Cidade,MALTA
Nome Posto,MALTA
Latitude,-6.9
Longitude,-37.53333333333333
Codigo,637031
Qtd. Anos,86
Ano,Maxima
1922,62.9
1923,88.7
1924,73.8
1925,63.5
1926,53
1927,53
1928,39.6
1929,65.8
1930,89.5
1931,270
1932,65
1934,60.5
1935,126.8
1936,90.8
1937,97.3
1938,105.5
1939,127.3
1940,127.4
1941,128.8
1942,81.3
1943,175.2
1944,100.2
1945,115
1946,84.6
1947,150
1948,106
1949,76.8
1950,70.3
1951,100.3
1952,77
1953,70
1954,75
1955,84
1956,113.8
1957,80
1958,92
1959,112
1960,47
1961,41.1
1962,64.5
1963,84
1964,82.6
1965,72.3
1966,82.3
1967,87.2
1968,92.5
1969,70.1
1970,63.7
1971,58.1
1972,88.4
1973,88.1
1974,94.1
1975,85.2
1976,65
1977,83
1978,105.2
1979,71
1980,52
1981,146.1
1982,53.1
1983,41.1
1994,50
1995,73.3
1996,76.7
1997,103.3
1998,89.6
1999,110
2000,101
2001,48.4
2002,56.4
2003,91
2004,74
2005,104.4
2006,73.5
2007,106
2008,154.2
2009,112
2010,135
2011,105
2012,77.5
2013,60
2014,75.8
2015,62
2016,68
2017,125
2018,66
