UF,PB
Cidade,MAMANGUAPE
Nome Posto,MAMANGUAPE
Latitude,-6.833333333333333
Longitude,-35.11666666666667
Codigo,635044
Qtd. Anos,103
Ano,Maxima
1910,78.8
1911,52.1
1912,68.9
1913,96.5
1914,128.3
1915,43.6
1916,70.1
1917,63.4
1918,53.4
1919,88.1
1920,61.1
1921,79.8
1922,79.3
1923,102.3
1924,74.1
1925,79.6
1926,105.8
1927,121.1
1928,103.7
1929,132.2
1930,75.2
1932,55.9
1933,110.8
1934,148.3
1935,57.3
1936,141
1937,80
1938,56.5
1939,110.3
1940,141.4
1941,86.4
1942,102.2
1943,93.4
1944,59.3
1945,156.3
1946,101.3
1947,59.5
1948,228.2
1949,66
1950,71.7
1951,98.8
1952,68.2
1953,72.6
1954,54.2
1955,63
1956,85
1957,75
1958,82.3
1959,77
1960,99.1
1961,92.3
1962,42.3
1963,157.9
1964,203
1965,99.7
1966,115.3
1967,73.5
1968,42.5
1969,43.6
1970,98.3
1971,72.1
1972,47.1
1973,61.6
1974,70
1975,20.5
1976,28
1977,28
1979,59
1980,42
1981,33
1982,15
1983,27.5
1984,75
1985,131
1986,62.3
1987,37
1988,33
1993,32.8
1994,159.2
1995,61
1996,114.6
1997,114.4
1998,84.2
1999,114.6
2000,76.2
2001,53.4
2002,63
2003,95.8
2004,78.2
2005,111
2006,51.8
2007,123
2008,73.2
2009,94.8
2010,74.8
2011,130.5
2012,132.4
2013,84.4
2014,58.3
2015,72.8
2016,85
2017,75.3
2018,28.3
