UF,PB
Cidade,PATOS
Nome Posto,PATOS
Latitude,-7.016666666666667
Longitude,-37.28333333333333
Codigo,737009
Qtd. Anos,52
Ano,Maxima
1926,108.1
1927,143.5
1928,73.8
1929,78.6
1930,78.6
1931,132
1932,67.5
1933,65.3
1934,63.4
1935,67.5
1936,58
1937,64
1938,14
1939,65
1940,68.7
1941,58
1942,82.3
1943,84.6
1944,82
1945,129
1946,75.8
1947,113
1948,118
1949,168
1950,108
1951,80.5
1952,53
1953,48
1954,65.5
1955,78
1956,68
1957,53
1958,54
1959,38
1960,145
1961,76
1962,70
1963,106
1964,121
1965,76
1966,61.8
1967,87.4
1968,67
1969,81.2
1970,94.8
1971,98
1972,52.4
1973,93.2
1974,94.8
1975,102.2
1976,51.2
1985,24.6
