UF,PB
Cidade,SAO JOSE DE PIRANHAS
Nome Posto,ARAPUA
Latitude,-7.066666666666666
Longitude,-38.583333333333336
Codigo,738024
Qtd. Anos,57
Ano,Maxima
1935,74.1
1936,78
1937,140
1938,68.2
1939,83.1
1940,93.9
1941,84.3
1942,87.6
1943,59.8
1944,70.2
1945,42.6
1946,64.7
1947,69.5
1948,72.8
1949,52.7
1950,52.3
1951,74.5
1952,101
1953,56.8
1954,108.3
1955,83.5
1956,120.5
1957,64.6
1958,123.7
1959,61.4
1960,128.2
1961,76.4
1962,54
1963,80.8
1964,55.6
1965,101
1966,69.4
1967,132
1968,94
1969,75.2
1970,60
1971,58.4
1972,83
1973,93
1974,110
1975,87.2
1976,110.2
1977,75
1978,85.7
1979,72.2
1980,127
1981,84
1982,40.7
1983,45.7
1984,63.4
1985,108.8
1986,77
1987,100
1988,97
1989,89
1990,100
1991,45
