UF,PB
Cidade,PILAR
Nome Posto,PILAR
Latitude,-7.1
Longitude,-35.28333333333333
Codigo,735007
Qtd. Anos,48
Ano,Maxima
1922,4.1
1923,37.3
1924,70.6
1925,88.7
1926,63.1
1927,53.2
1928,58.1
1929,64.3
1930,42
1931,71.2
1932,49
1933,50.4
1937,55.6
1938,39.5
1939,99.5
1940,56.2
1962,63.2
1963,47
1964,105.3
1965,36.6
1966,62.3
1967,95.5
1968,50
1969,62.3
1970,75.8
1971,64
1972,138
1973,52.8
1974,77.4
1975,59.8
1976,69.4
1977,32.6
1978,32.4
1979,12.8
1980,28.4
1981,42.8
1982,44.8
1983,94.2
1984,80.6
1985,62.8
1986,36.6
1987,42.8
1988,36.6
1989,42.6
1990,38.6
1991,36.2
1993,48.2
1994,28.6
