UF,PB
Cidade,BARRA DE SANTA ROSA
Nome Posto,BARRA DE SANTA ROSA
Latitude,-6.716666666666667
Longitude,-36.06666666666667
Codigo,636032
Qtd. Anos,48
Ano,Maxima
1931,106.2
1932,16.2
1933,13.3
1934,44.6
1935,65.1
1936,33.2
1937,57
1938,6.3
1939,35
1940,58.5
1941,39
1942,55
1943,71.5
1944,21.5
1945,63.2
1946,52.5
1947,68.5
1948,26.5
1949,45.5
1950,46
1951,19
1952,37.5
1953,31.2
1954,55.5
1955,16
1956,63.2
1957,39.3
1958,31.1
1959,18
1961,8.5
1962,27
1963,51.6
1964,99.8
1965,32.9
1966,31.8
1967,117.2
1968,75.1
1969,67
1970,34
1971,17
1975,17
1976,75.2
1977,56
1978,47.8
1979,37.1
1980,22.1
1982,27.4
1983,66.2
