UF,PB
Cidade,BOQUEIRAO
Nome Posto,BODOCONGO-2
Latitude,-7.528333333333333
Longitude,-35.999722222222225
Codigo,735124
Qtd. Anos,50
Ano,Maxima
1970,120
1971,50
1972,75
1973,50.2
1974,92.5
1975,66
1976,46
1977,62
1978,50.2
1979,92
1980,33.6
1981,97.6
1982,73.2
1983,17.8
1984,50.2
1985,33.6
1986,66.4
1987,26.7
1988,46.2
1989,58.6
1990,17.3
1991,56.2
1992,75.2
1993,15.2
1994,50.5
1995,19.2
1996,29.4
1997,34.2
1998,18
1999,85.8
2000,144
2001,73.8
2002,51.4
2003,34.7
2004,96.2
2005,51
2006,47.8
2007,70.1
2008,52.4
2009,40.1
2010,58.8
2011,65.4
2012,42.3
2013,24.7
2014,48.3
2015,36.2
2016,42.4
2017,22.2
2018,40.8
2019,50.1
