UF,PB
Cidade,OLIVEDOS
Nome Posto,OLIVEDOS
Latitude,-6.983333333333333
Longitude,-36.25
Codigo,636036
Qtd. Anos,51
Ano,Maxima
1933,26
1934,67
1935,114
1936,73
1937,84
1938,80
1939,60
1940,72.7
1941,41
1942,18.6
1943,36
1944,131
1945,38.4
1946,244.2
1947,63
1948,209.3
1949,60.2
1950,39.6
1951,21
1952,64.2
1953,30
1954,40.9
1955,53.1
1956,123.2
1957,60.2
1958,51.2
1959,31.6
1960,69.6
1961,54.4
1962,31
1963,128.1
1964,61
1965,58
1966,98.2
1967,64.1
1968,32.8
1969,41
1970,104.1
1971,41.2
1972,42
1973,126
1974,100.8
1975,50.4
1976,50
1977,130
1978,79
1979,33
1980,81.4
1981,60.2
1982,33.4
1983,29.2
