UF,PB
Cidade,CRUZ DO ESPIRITO SANTO
Nome Posto,CRUZ DO ESPIRITO SANTO
Latitude,-7.15
Longitude,-35.083333333333336
Codigo,735019
Qtd. Anos,51
Ano,Maxima
1911,8.1
1912,62.8
1913,46.5
1914,72.6
1915,42.2
1916,60.2
1917,13.1
1918,45.1
1919,63.7
1920,68.2
1921,58.5
1922,68.8
1923,68.2
1924,68.3
1925,68.7
1926,68.8
1927,68.5
1928,112
1929,67.1
1930,26.9
1931,67.2
1932,73.3
1962,58.8
1963,95.3
1964,75.3
1965,95.4
1966,150.6
1967,85.4
1968,75.3
1969,77.3
1970,96.6
1971,125
1972,85.8
1973,100
1974,80.6
1975,125.6
1976,105.8
1977,50.8
1978,98.5
1979,60.2
1980,85
1981,91.1
1982,75.8
1983,65
1984,60
1985,50.2
1986,29.3
1987,28.7
1988,28.9
1989,28.9
1990,28.7
