UF,PB
Cidade,ALAGOA GRANDE
Nome Posto,ALAGOA GRANDE
Latitude,-7.05
Longitude,-35.63333333333333
Codigo,735033
Qtd. Anos,64
Ano,Maxima
1926,66.6
1927,56
1928,63.5
1929,31.5
1930,38.7
1931,67.4
1932,37.1
1933,16.7
1959,51.7
1960,42.1
1962,30.1
1963,62.3
1964,95.8
1965,70.7
1966,61.8
1967,43.7
1968,91.4
1969,84
1970,134
1971,40
1972,55.2
1973,95.3
1974,84.2
1975,68.3
1976,87
1977,43.3
1978,122
1979,49.9
1980,68
1981,49.3
1982,41.1
1983,50
1984,64.2
1985,93.1
1986,77.2
1987,70.1
1988,88.4
1989,87
1990,46.4
1994,105
1995,50
1996,74
1997,64.8
1998,66.8
1999,68.4
2000,70
2001,68.8
2002,59.9
2003,60.2
2004,106.7
2005,42.8
2006,49.6
2007,39.3
2008,67.5
2009,46.8
2010,76
2011,96.3
2012,54.7
2013,45
2014,45.1
2015,43
2016,58.2
2017,116.6
2018,60.2
