UF,PB
Cidade,CARAUBAS
Nome Posto,CARAUBAS
Latitude,-7.716666666666667
Longitude,-36.516666666666666
Codigo,736020
Qtd. Anos,86
Ano,Maxima
1931,28
1932,20
1933,28
1934,55.3
1935,55
1936,59
1937,57.2
1938,59.4
1939,58.3
1940,36.2
1941,60
1942,45
1943,39
1944,56.1
1945,59
1946,35
1947,72.1
1948,98.6
1949,54.5
1950,62
1951,42
1952,21.3
1953,30
1954,28
1955,109.7
1956,23.7
1957,44.5
1958,42.5
1959,34.1
1960,62.5
1961,58.2
1962,74.1
1963,92
1964,77
1965,85.1
1966,88.3
1967,105.2
1968,66.4
1969,84.4
1970,42.6
1971,43.2
1972,31.9
1973,43.6
1974,100.2
1975,68.1
1976,63.1
1977,99
1978,53.2
1979,15.1
1980,53.8
1981,142.3
1982,24.5
1983,75
1984,108
1985,77.1
1986,42.7
1987,42.2
1988,89.9
1989,146
1990,78.3
1993,5
1994,38.6
1995,42.8
1996,58.9
1997,146.2
1998,21.5
1999,93
2000,65.3
2001,46
2002,62
2003,41
2004,48.2
2005,81
2006,57
2007,41.8
2008,84
2009,55.5
2010,97.2
2011,110.8
2012,20.7
2013,30.5
2014,56.8
2015,29.5
2016,49
2017,16.5
2018,34
