UF,PB
Cidade,BOQUEIRAO
Nome Posto,RIACHO SANTO ANTONIO
Latitude,-7.7
Longitude,-36.15
Codigo,736013
Qtd. Anos,56
Ano,Maxima
1962,12.8
1963,84
1964,47.2
1965,42
1966,122.8
1967,69.6
1968,40
1969,135
1970,25
1971,36
1972,73.5
1973,42.1
1974,48
1975,26.4
1976,80.8
1977,115.6
1978,42.4
1979,24.4
1980,30.7
1981,71
1982,87.6
1983,25
1984,51.6
1985,103
1986,50
1987,28.6
1988,54
1989,84
1990,40
1991,30
1993,26
1994,30.5
1995,62
1996,61
1997,73
1998,29
1999,72
2000,80
2001,32.1
2002,28
2003,53
2004,85
2005,62
2006,42
2007,55
2008,68.5
2009,63.5
2010,77.2
2011,70
2012,15.1
2013,68
2014,60
2015,19
2016,28
2017,15
2018,30
