UF,PB
Cidade,ALAGOA NOVA
Nome Posto,ALAGOA NOVA
Latitude,-7.066666666666666
Longitude,-35.78333333333333
Codigo,735030
Qtd. Anos,81
Ano,Maxima
1911,63.4
1912,66.2
1913,66
1914,65.6
1915,50.6
1916,51.1
1917,66.5
1918,32.1
1919,57.4
1920,68.3
1921,71.2
1922,72.9
1923,61.1
1924,68.8
1925,50.2
1926,70.5
1927,77
1928,60
1929,37.5
1930,61
1931,50
1932,65.2
1933,40.1
1934,70.6
1935,65
1936,100.8
1937,70.3
1938,27.5
1939,65.2
1940,88.2
1941,53.4
1942,43.2
1943,44.5
1944,58.3
1945,127.6
1946,57.4
1947,72.8
1948,71.5
1949,70.2
1950,54.4
1951,46.1
1952,43.7
1953,69.8
1954,89.6
1955,45.6
1956,72.4
1957,67.8
1958,44.6
1959,51.7
1960,42.1
1961,70.6
1962,55.2
1963,95.2
1964,202
1965,109.7
1966,150.2
1967,108.5
1968,105.1
1969,106.4
1970,86.4
1971,146.2
1972,328.6
1973,104.8
1974,93.3
1975,75.5
1976,82.5
1977,78
1978,84.5
1979,42.5
1980,46
1981,75.3
1982,65
1983,35
1984,90
1985,130.5
1986,108
1987,38
1988,64
1990,5
1991,65
1993,85
