UF,PB
Cidade,TRIUNFO
Nome Posto,BARRA DO JUA
Latitude,-6.533333333333333
Longitude,-38.56666666666667
Codigo,638029
Qtd. Anos,51
Ano,Maxima
1933,48.4
1934,83.7
1935,64.8
1936,65
1937,97.2
1938,83.8
1939,65.6
1940,87
1941,80
1942,68.5
1943,63
1944,66
1945,51
1946,66.7
1947,91.6
1948,53
1949,81.5
1950,48.4
1951,79
1952,52.3
1953,50
1954,149
1955,47
1956,29.6
1957,58.9
1958,69.2
1959,64.5
1960,59
1961,74
1962,50.3
1963,80.3
1964,39.2
1965,59
1966,70.6
1967,76.2
1968,84.3
1969,75.5
1970,60.2
1971,45
1972,63.2
1973,83.5
1974,90.8
1975,70.4
1976,48
1977,57.2
1978,62.1
1979,47.2
1980,70
1981,80.8
1982,115.6
1983,49.6
